,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,収容外部EPG一覧（千葉）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tenant名,テナント名,VRF名,"L3-Out名
(NW名)","外部EPG名
(NW名)",接続先,"ルーティング
方式","ACI内
ルーティング
制御","ACI外
広報経路",Static Route,,OSPF,,機器名,"収容Leaf
(ホスト名）",論理ノード名,"ルータID
/Loopback IP",収容ポート,Path Type,"Path
(PC/vPC)",Logical Node Profile,OSPF,,,,,,,,ポート種別,VLAN ID,"IPアドレス
（ゲートウェイ）","セカンダリIPアドレス
（VIP）",MTU,VLAN Mode,接続先,,QoS区分,QoS,備考
,,,,,,,,,,Prefix,Next-Hop,Area ID,Area type,,,,,,,,Logical Interface,Logical Interface,Priority,Cost,Network-Type,Hello Interval,Dead Interval,Retransmit Interval,Transmit Deley,,,,,,,物理装置名,物理Port名,,クラシファイ,
,,,,,,,,,,,,,,千葉本番 Leaf(VM6)#2,nwch-i9318-zlfs4022,logic-nd-402,11.41.255.6,Eth1/01,Port,-,logic-int-prof-402-01,ospf-int-pol-402-01,255,0(default),Broadcast,1,4,1,1,SVI,1499,11.42.159.209/28,-,1500,Trunk(tag付き),Blade Chassis#48,PTM2-1,,,管理クラスタ(CL_DC_C61_MG1)、ESG01c(運用系01)
,,,,,,,,,,,,,,,,,,Eth1/02,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,1499,11.42.159.209/28,-,1500,Trunk(tag付き),Blade Chassis#48,PTM2-2,,,管理クラスタ(CL_DC_C61_MG1)、ESG02c(運用系02)
,,,,,,,,,,,,,,,,,,Eth1/17,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,1499,11.42.159.209/28,-,1500,Trunk(tag付き),Blade Chassis#49,PTM2-1,,,管理クラスタ(CL_DC_C61_MG1)
,,,,,,,,,,,,,,,,,,Eth1/18,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,1499,11.42.159.209/28,-,1500,Trunk(tag付き),Blade Chassis#49,PTM2-2,,,管理クラスタ(CL_DC_C61_MG1)
,ch-tacc,本昇業務面勘定系,vrf-tacc,l3out-taccdist,exepg-taccdist,Dist,OSPF,"0.0.0.0/0
※ALL許可","0.0.0.0/0
※ALL許可",-,-,0,Regular,千葉本番 Leaf(Border)#1,nwch-i9318-zlfb1011,logic-nd-101,10.253.64.242,Eth1/17,Direct Port Channel,pol-pc-101-t1,logic-int-prof-101-17,ospf-int-pol-101-17,-,0(default),Point-to-point,1,4,1,1,SVI,600,10.253.64.130/30,-,1500,Trunk(tag付き),bkch-r6509-zdcd010t,Te7/7,開発業務面勘定系,Level3,
,,,,,,,,,,,,,,,,,,Eth1/18,Direct Port Channel,pol-pc-101-t2,,,-,0(default),Point-to-point,1,4,1,1,SVI,603,10.253.64.142/30,-,1500,Trunk(tag付き),bkch-r6509-zdcd020t,Te7/7,,,
,,,,,,,,,,,,,,千葉本番 Leaf(Border)#2,nwch-i9318-zlfb1022,logic-nd-102,10.253.64.241,Eth1/17,Direct Port Channel,pol-pc-102-t1,logic-int-prof-102-17,ospf-int-pol-102-17,-,0(default),Point-to-point,1,4,1,1,SVI,602,10.253.64.138/30,-,1500,Trunk(tag付き),bkch-r6509-zdcd010t,Te8/7,,,
,,,,,,,,,,,,,,,,,,Eth1/18,Direct Port Channel,pol-pc-102-t2,,,-,0(default),Point-to-point,1,4,1,1,SVI,601,10.253.64.134/30,-,1500,Trunk(tag付き),bkch-r6509-zdcd020t,Te8/7,,,
,,,,l3out-taccesg,exepg-taccesg,ESG(NSX),OSPF,0.0.0.0/0,0.0.0.0/0,-,-,310,NSSA,千葉本番 Leaf(VM6)#1,nwch-i9318-zlfs4011,logic-nd-401,12.41.255.1,Eth1/01,Port,-,logic-int-prof-401-01,ospf-int-pol-401-01,255,0(default),Broadcast,1,4,1,1,SVI,1894,12.27.31.193/28,-,1500,Trunk(tag付き),Blade Chassis#48,PTM1-1,開発業務面勘定系,Level3,管理クラスタ(CL_DC_C61_MG1)、ESG02a-stage(勘定系02)
,,,,,,,,,,,,,,,,,,Eth1/02,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,1894,12.27.31.193/28,-,1500,Trunk(tag付き),Blade Chassis#48,PTM1-2,,,管理クラスタ(CL_DC_C61_MG1)、ESG01a-stage(勘定系01)
,,,,,,,,,,,,,,,,,,Eth1/17,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,1894,12.27.31.193/28,-,1500,Trunk(tag付き),Blade Chassis#49,PTM1-1,,,管理クラスタ(CL_DC_C61_MG1)
,,,,,,,,,,,,,,,,,,Eth1/18,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,1894,12.27.31.193/28,-,1500,Trunk(tag付き),Blade Chassis#49,PTM1-2,,,管理クラスタ(CL_DC_C61_MG1)
,,,,,,,,,,,,,,千葉本番 Leaf(VM6)#2,nwch-i9318-zlfs4022,logic-nd-402,12.41.255.2,Eth1/01,Port,-,logic-int-prof-402-01,ospf-int-pol-402-01,255,0(default),Broadcast,1,4,1,1,SVI,1895,12.27.31.209/28,-,1500,Trunk(tag付き),Blade Chassis#48,PTM2-1,,,管理クラスタ(CL_DC_C61_MG1)、ESG02a-stage(勘定系02)
,,,,,,,,,,,,,,,,,,Eth1/02,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,1895,12.27.31.209/28,-,1500,Trunk(tag付き),Blade Chassis#48,PTM2-2,,,管理クラスタ(CL_DC_C61_MG1)、ESG01a-stage(勘定系01)
,,,,,,,,,,,,,,,,,,Eth1/17,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,1895,12.27.31.209/28,-,1500,Trunk(tag付き),Blade Chassis#49,PTM2-1,,,管理クラスタ(CL_DC_C61_MG1)
,,,,,,,,,,,,,,,,,,Eth1/18,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,1895,12.27.31.209/28,-,1500,Trunk(tag付き),Blade Chassis#49,PTM2-2,,,管理クラスタ(CL_DC_C61_MG1)
,,,,l3out-taccesg2,exepg-taccesg2,ESG(NSX),OSPF,0.0.0.0/0,0.0.0.0/0,-,-,330,NSSA,千葉本番 Leaf(VM6)#1,nwch-i9318-zlfs4011,logic-nd-401,12.41.255.1,Eth1/33,Direct Port Channel,pol-pc-401-p5,logic-int-prof-401-33,ospf-int-pol-401-33,255,0(default),Broadcast,1,4,1,1,SVI,1882,12.27.31.97/28,-,1500,Trunk(tag付き),千葉災対1 HPE Virtual Connect Ethernet #1,Q1,開発業務面勘定系,Level3,
,,,,,,,,,,,,,,,,,,Eth1/34,Direct Port Channel,pol-pc-401-p5,,,255,0(default),Broadcast,1,4,1,1,SVI,1882,12.27.31.97/28,-,1500,Trunk(tag付き),千葉災対1 HPE Virtual Connect Ethernet #1,Q2,,,
,,,,,,,,,,,,,,千葉本番 Leaf(VM6)#2,nwch-i9318-zlfs4022,logic-nd-402,12.41.255.2,Eth1/33,Direct Port Channel,pol-pc-402-p6,logic-int-prof-402-33,ospf-int-pol-402-33,255,0(default),Broadcast,1,4,1,1,SVI,1883,12.27.31.113/28,-,1500,Trunk(tag付き),千葉災対1 HPE Virtual Connect Ethernet #2,Q1,,,
,,,,,,,,,,,,,,,,,,Eth1/34,Direct Port Channel,pol-pc-402-p6,,,255,0(default),Broadcast,1,4,1,1,SVI,1883,12.27.31.113/28,-,1500,Trunk(tag付き),千葉災対1 HPE Virtual Connect Ethernet #2,Q2,,,
,ch-ｔinf,本昇業務面情報系,vrf-ｔinf,l3out-tinfdist,exepg-tinfdist,Dist,OSPF,0.0.0.0/0,0.0.0.0/0,-,-,0,Regular,千葉本番 Leaf(Border)#1,nwch-i9318-zlfb1011,logic-nd-101,10.253.88.246,Eth1/17,Direct Port Channel,pol-pc-101-t1,logic-int-prof-101-17,ospf-int-pol-101-17,-,0(default),Point-to-point,1,4,1,1,SVI,604,10.253.88.82/30,-,1500,Trunk(tag付き),bkch-r6509-zdcd010t,Te7/7,開発業務面情報系,Level3,
,,,,,,,,,,,,,,,,,,Eth1/18,Direct Port Channel,pol-pc-101-t2,,,-,0(default),Point-to-point,1,4,1,1,SVI,607,10.253.88.94/30,-,1500,Trunk(tag付き),bkch-r6509-zdcd020t,Te7/7,,,
,,,,,,,,,,,,,,千葉本番 Leaf(Border)#2,nwch-i9318-zlfb1022,logic-nd-102,10.253.88.245,Eth1/17,Direct Port Channel,pol-pc-102-t1,logic-int-prof-102-17,ospf-int-pol-102-17,-,0(default),Point-to-point,1,4,1,1,SVI,606,10.253.88.90/30,-,1500,Trunk(tag付き),bkch-r6509-zdcd010t,Te8/7,,,
,,,,,,,,,,,,,,,,,,Eth1/18,Direct Port Channel,pol-pc-102-t2,,,-,0(default),Point-to-point,1,4,1,1,SVI,605,10.253.88.86/30,-,1500,Trunk(tag付き),bkch-r6509-zdcd020t,Te8/7,,,
,,,,l3out-tinfesg,exepg-tinfesg,ESG(NSX),OSPF,0.0.0.0/0,0.0.0.0/0,-,-,310,NSSA,千葉本番 Leaf(VM6)#1,nwch-i9318-zlfs4011,logic-nd-401,12.41.255.3,Eth1/01,Port,-,logic-int-prof-102-01,ospf-int-pol-102-01,255,0(default),Broadcast,1,4,1,1,SVI,1896,12.39.159.193/28,-,1500,Trunk(tag付き),Blade Chassis#48,PTM1-1,開発業務面情報系,Level3,管理クラスタ(CL_DC_C61_MG1)
,,,,,,,,,,,,,,,,,,Eth1/02,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,1896,12.39.159.193/28,-,1500,Trunk(tag付き),Blade Chassis#48,PTM1-2,,,管理クラスタ(CL_DC_C61_MG1)
,,,,,,,,,,,,,,,,,,Eth1/17,Port,-,logic-int-prof-401-17,ospf-int-pol-401-17,255,0(default),Broadcast,1,4,1,1,SVI,1896,12.39.159.193/28,-,1500,Trunk(tag付き),Blade Chassis#49,PTM1-1,,,管理クラスタ(CL_DC_C61_MG1)、ESG02b-stage(情報系02)
,,,,,,,,,,,,,,,,,,Eth1/18,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,1896,12.39.159.193/28,-,1500,Trunk(tag付き),Blade Chassis#49,PTM1-2,,,管理クラスタ(CL_DC_C61_MG1)、ESG01b-stage(情報系01)
,,,,,,,,,,,,,,千葉本番 Leaf(VM6)#2,nwch-i9318-zlfs4022,logic-nd-402,12.41.255.4,Eth1/01,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,1897,12.39.159.209/28,-,1500,Trunk(tag付き),Blade Chassis#48,PTM2-1,,,管理クラスタ(CL_DC_C61_MG1)
,,,,,,,,,,,,,,,,,,Eth1/02,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,1897,12.39.159.209/28,-,1500,Trunk(tag付き),Blade Chassis#48,PTM2-2,,,管理クラスタ(CL_DC_C61_MG1)
,,,,,,,,,,,,,,,,,,Eth1/17,Port,-,logic-int-prof-402-17,ospf-int-pol-402-17,255,0(default),Broadcast,1,4,1,1,SVI,1897,12.39.159.209/28,-,1500,Trunk(tag付き),Blade Chassis#49,PTM2-1,,,管理クラスタ(CL_DC_C61_MG1)、ESG02b-stage(情報系02)
,,,,,,,,,,,,,,,,,,Eth1/18,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,1897,12.39.159.209/28,-,1500,Trunk(tag付き),Blade Chassis#49,PTM2-2,,,管理クラスタ(CL_DC_C61_MG1)、ESG01b-stage(情報系01)
,ch-ｔope,本昇運用面,vrf-ｔope,l3out-topedist,exepg-topedist,Dist,OSPF,0.0.0.0/0,0.0.0.0/0,-,-,0,Regular,千葉本番 Leaf(Border)#1,nwch-i9318-zlfb1011,logic-nd-101,12.46.160.242,Eth1/19,Direct Port Channel,pol-pc-101-t3,logic-int-prof-101-19,ospf-int-pol-101-19,-,0(default),Point-to-point,1,4,1,1,SVI,3956,12.46.160.34/30,-,1500,Trunk(tag付き),nwch-r5672-udcd010t,Eth1/25,開発運用面,Level3,
,,,,,,,,,,,,,,,,,,Eth1/20,Direct Port Channel,pol-pc-101-t4,,,-,0(default),Point-to-point,1,4,1,1,SVI,3959,12.46.160.46/30,-,1500,Trunk(tag付き),nwch-r5672-udcd020t,Eth1/25,,,
,,,,,,,,,,,,,,千葉本番 Leaf(Border)#2,nwch-i9318-zlfb1022,logic-nd-102,12.46.160.241,Eth1/19,Direct Port Channel,pol-pc-102-t3,logic-int-prof-102-19,ospf-int-pol-102-19,-,0(default),Point-to-point,1,4,1,1,SVI,3958,12.46.160.42/30,-,1500,Trunk(tag付き),nwch-r5672-udcd010t,Eth1/37,,,
,,,,,,,,,,,,,,,,,,Eth1/20,Direct Port Channel,pol-pc-102-t4,,,-,0(default),Point-to-point,1,4,1,1,SVI,3957,12.46.160.38/30,-,1500,Trunk(tag付き),nwch-r5672-udcd020t,Eth1/37,,,
