,,,,,,,,,,,,,,,,,,,,,,,,
,収容EPG一覧（多摩）,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Tenant名,テナント名,VRF名,BD名(NW名),GW有無,Querier IP,"IGMP
Snooping","IPアドレス
（GW）",Associated L3out,EPG名(NW名),用途（サブネット名）,"システム名称
（英数字のみ、一意な値）",VLAN ID,"収容Leaf
（ホスト名）",収容ポート,Path Type,"PC/vPC
インターフェイスポリシー",VLAN Mode,接続先サーバ,,,QoS区分,Custom QoS,備考
,,,,,,,,,,,,,,,,,,,物理装置名,VM名 or 機能名,物理NIC名,,QoS Policy,
,,,,,,,,,,,,,,nwtm-i9318-zlfs4042,Eth1/14,Port,,Trunk(tag付き),,,,,,
,,,,,,,,,,,,,,,Eth1/15,Port,,Trunk(tag付き),,,,,,
,,,,bd-texadata_gyomu-2,有,無効,有効,11.15.130.33/27,"l3out-tinfdist
l3out-tinfasr01",epg-texadata_gyomu-2,Exadata X8_VM用業務セグメント#2,texadata_gyomu-2,1106,nwtm-i9318-zlfs4031,Eth1/14,Port,,Trunk(tag付き),,,,開発,custom-qos-test-pol,
,,,,,,,,,,,,,,,Eth1/15,Port,,Trunk(tag付き),,,,,,
,,,,,,,,,,,,,,nwtm-i9318-zlfs4042,Eth1/14,Port,,Trunk(tag付き),,,,,,
,,,,,,,,,,,,,,,Eth1/15,Port,,Trunk(tag付き),,,,,,
,,,,bd-texadata_gyomu-3,有,無効,有効,11.15.130.65/27,"l3out-tinfdist
l3out-tinfasr01",epg-texadata_gyomu-3,Exadata X8_VM用業務セグメント#3,texadata_gyomu-3,1107,nwtm-i9318-zlfs4031,Eth1/14,Port,,Trunk(tag付き),,,,開発,custom-qos-test-pol,
,,,,,,,,,,,,,,,Eth1/15,Port,,Trunk(tag付き),,,,,,
,,,,,,,,,,,,,,nwtm-i9318-zlfs4042,Eth1/14,Port,,Trunk(tag付き),,,,,,
,,,,,,,,,,,,,,,Eth1/15,Port,,Trunk(tag付き),,,,,,
,,,,bd-texadata_gyomu-4,有,無効,有効,11.15.130.97/27,"l3out-tinfdist
l3out-tinfasr01",epg-texadata_gyomu-4,Exadata X8_VM用業務セグメント#4,texadata_gyomu-4,1108,nwtm-i9318-zlfs4031,Eth1/14,Port,,Trunk(tag付き),,,,開発,custom-qos-test-pol,
,,,,,,,,,,,,,,,Eth1/15,Port,,Trunk(tag付き),,,,,,
,,,,,,,,,,,,,,nwtm-i9318-zlfs4042,Eth1/14,Port,,Trunk(tag付き),,,,,,
,,,,,,,,,,,,,,,Eth1/15,Port,,Trunk(tag付き),,,,,,
,,,,bd-texadata_gyomu-5,有,無効,有効,11.15.130.129/27,"l3out-tinfdist
l3out-tinfasr01",epg-texadata_gyomu-5,Exadata X8_VM用業務セグメント#5,texadata_gyomu-5,1109,nwtm-i9318-zlfs4031,Eth1/14,Port,,Trunk(tag付き),,,,開発,custom-qos-test-pol,
,,,,,,,,,,,,,,,Eth1/15,Port,,Trunk(tag付き),,,,,,
