,,,,,,,,,,,,,,,,
,コントラクト一覧（千葉）,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Tenant名,VRF名,コントラクト名,Subject,用途,通信方向,"送信元システム
（サブネット名等）","宛先システム
（サブネット名等）","送信元EPG
（Provided)","宛先EPG
（Consumed)",Filter,,,,,備考
,,,,,,,,,,,エントリ名,プロトコル,プロトコル,ステートフル,ポート,
,,,,,,,Exadata5号機_千葉開発業務セグメント#4,Exadata5号機_千葉開発業務セグメント#3,epg-texadata_gyomu_kaihatsu-4,epg-texadata_gyomu_kaihatsu-3,,,,,,
,,,cont-uni-epg-purestorage_iSCSI,cont-subject,システム間,片方向のみ許可,PureStorage_iSCSIセグメント,,epg-purestorage_iSCSI,,,,,,,
,ch-tope,vrf-tope,cont-both-topedist-vzany,cont-subject,外部EPG接続,双方向許可,tope-Dist,全システム,exepg-topedist,vzAny,,,,,,
,,,cont-both-topeesg-vzany,cont-subject,外部EPG接続,双方向許可,tope-ESG,全システム,exepg-topeesg,vzAny,,,,,,
,,,cont-both-topeesg2-vzany,cont-subject,外部EPG接続,双方向許可,tope-ESG2,全システム,exepg-topeesg2,vzAny,,,,,,
,,,cont-uni-epg-tmgmtLAN,cont-subject,システム間,片方向のみ許可,VM6_管理LAN,VM6_CMM/IMM,epg-tmgmtLAN,epg-tcmmimm,,,,,,本番昇格時に削除
,,,cont-uni-epg-tcmmimm,cont-subject,システム間,片方向のみ許可,VM6_CMM/IMM,VM6_管理LAN,epg-tcmmimm,epg-tmgmtLAN,,,,,,本番昇格時に削除
,,,cont-uni-epg-tmgmtLAN2,cont-subject,システム間,片方向のみ許可,VM6_管理LAN2,-,epg-tmgmtLAN2,-,,,,,,
,,,cont-uni-epg-tcmmimm2,cont-subject,システム間,片方向のみ許可,VM6_CMM/IMM2,リモートサポート内側セグメント,epg-tcmmimm2,epg-tRemoteSupportInside,,,,,,2019年3月_Synergy_本番昇格時に削除
,,,cont-uni-epg-tRemoteSupportInside,cont-subject,システム間,片方向のみ許可,リモートサポート内側セグメント,VM6_CMM/IMM2,epg-tRemoteSupportInside,epg-tcmmimm2,,,,,,2019年3月_Synergy_本番昇格時に削除
