,,,,,,,,,,,,,,,
,コントラクト一覧（千葉開発）,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Tenant名,VRF名,コントラクト名,Subject,用途,通信方向,"送信元システム
（サブネット名等）","宛先システム
（サブネット名等）","送信元EPG
（Provided)","宛先EPG
（Consumed)",備考,,,,
,,,,,,,,,,,,,,,
,ch-tacct,vrf-tacc,cont-both-taccdist-vzany,cont-subject,外部EPG接続,双方向許可,tacc-Dist,全システム,exepg-taccdist,vzAny,,,,,
,,,cont-uni-epg-tNMSportalunyo,cont-subject,システム間,片方向のみ許可,NMS_運用千葉ポータル運用LAN1,NMS_運用千葉AD監視LAN1,epg-tNMSportalunyo,epg-tNMSADkanshi,,2/21/19,-,,
,,,,,,,NMS_運用千葉ポータル運用LAN1,NMS_運用千葉AD運用LAN1,epg-tNMSportalunyo,epg-tNMSADunyo,,2/21/19,-,,
,,,,,,,NMS_運用千葉ポータル運用LAN1,NMS_運用千葉NB監視LAN1,epg-tNMSportalunyo,epg-tNMSNBkanshi,,2/21/19,-,,
,,,,,,,NMS_運用千葉ポータル運用LAN1,NMS_運用千葉NB運用LAN1,epg-tNMSportalunyo,epg-tNMSNBunyo,,2/21/19,-,,
,,,cont-uni-epg-tDHCP_m2020,cont-subject,システム間,片方向のみ許可,M'intra2020_DHCPセグメント,M'intra2020_VMkernelセグメント,epg-tDHCP_m2020,epg-tVMKernel_m2020,,2/21/19,-,,
,,,,,,,M'intra2020_DHCPセグメント,M'intra2020_vMotionセグメント,epg-tDHCP_m2020,epg-tvMotion_m2020,,2/21/19,-,,
,,,cont-uni-epg-tVMKernel_m2020,cont-subject,システム間,片方向のみ許可,M'intra2020_VMkernelセグメント,M'intra2020_DHCPセグメント,epg-tVMKernel_m2020,epg-tDHCP_m2020,,2/21/19,-,,
,,,,,,,M'intra2020_VMkernelセグメント,M'intra2020_vMotionセグメント,epg-tVMKernel_m2020,epg-tvMotion_m2020,,2/21/19,-,,
,,,cont-uni-epg-tvMotion_m2020,cont-subject,システム間,片方向のみ許可,M'intra2020_vMotionセグメント,M'intra2020_DHCPセグメント,epg-tvMotion_m2020,epg-tDHCP_m2020,,2/21/19,-,,
,,,,,,,M'intra2020_vMotionセグメント,M'intra2020_VMkernelセグメント,epg-tvMotion_m2020,epg-tVMKernel_m2020,,2/21/19,-,,
,,,cont-uni-epg-purestorage_unyokanri,cont-subject,システム間,片方向のみ許可,PureStorage_運用管理セグメント,,epg-purestorage_unyokanri,,,2/21/19,-,,
,ch-vinft,vrf-vinf,cont-uni-epg-vxlan,cont-subject,システム間,片方向のみ許可,VM6_VXLAN,,epg-vxlan,,,,,,
,,,cont-uni-epg-vmotion,cont-subject,システム間,片方向のみ許可,VM6_vMotion,,epg-vmotion,,,,,,
,,,cont-uni-epg-ft,cont-subject,システム間,片方向のみ許可,VM6_FT,,epg-ft,,,,,,
,,,cont-uni-epg-vsan,cont-subject,システム間,片方向のみ許可,VM6_vSAN,,epg-vsan,,,2019/4/19（仮）,-,,
,ch-tbakt,vrf-tbak,cont-both-tbakbk-vzany,cont-subject,外部EPG接続,双方向許可,バックアップ通信（開発）,バックアップセグメント（開発）,exepg-tbakbk,vzAny,,,,,
,,,,,,,,,,,,,,,
,nw_test,vrf-test,cont-uni-epg-test1,cont-subject,システム間,片方向のみ許可,VM6.5　検証環境セグメント#1,VM6.5　検証環境セグメント#2,epg-test1,epg-test2,,,,,
,,,cont-uni-epg-test2,cont-subject,システム間,片方向のみ許可,VM6.5　検証環境セグメント#2,VM6.5　検証環境セグメント#1,epg-test2,epg-test1,,,,,
,,,,,,,,,,,,,,,
,※統合バックアップのACI Nativeについては、相互通信を許可しない方針のため、コントラクトは作成しない。,,,,,,,,,,,,,,
