,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,収容外部EPG一覧（千葉開発）,,,,,,,,,,,,,,,,,,,追加,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tenant名,テナント名,VRF名,"L3-Out名
(NW名)","外部EPG名
(NW名)",接続先,"ルーティング
方式","ACI内
ルーティング
制御","ACI外
広報経路",Static Route,,OSPF,,機器名,"収容Leaf
(ホスト名）",論理ノード名,"ルータID
/Loopback IP",収容ポート,Path Type,"Path
(PC/vPC)",Logical Node Profile,OSPF,,,,,,,,ポート種別,VLAN ID,"IPアドレス
（ゲートウェイ）","セカンダリIPアドレス
（VIP）",MTU,VLAN Mode,接続先,,QoS区分,QoS,備考
,,,,,,,,,,Prefix,Next-Hop,Area ID,Area type,,,,,,,,Logical Interface,Logical Interface,Priority,Cost,Network-Type,Hello Interval,Dead Interval,Retransmit Interval,Transmit Deley,,,,,,,物理装置名,物理Port名,,クラシファイ,
,ch-tacct,開発業務面勘定系,vrf-tacc,l3out-taccdist,exepg-taccdist,Dist,OSPF,"0.0.0.0/0
,,,,,,,,,,,,,,千葉開発 Leaf(Border)#2,nwch-i9318-zlfb1022t,logic-nd-102,10.253.88.241,Eth1/01,Direct Port Channel,pol-pc-102-t1,logic-int-prof-102-01,ospf-int-pol-102-01,-,0(default),Point-to-point,1,4,1,1,SVI,905,12.39.158.209/28,-,1500,Trunk(tag付き),nwch-r1001-zclh010,TE4,,,
,ch-ｔopet,開発運用面,vrf-ｔope,l3out-topedist,exepg-topedist,Dist,OSPF,0.0.0.0/0,0.0.0.0/0,-,-,0,Regular,千葉開発 Leaf(Border)#1,nwch-i9318-zlfb1011t,logic-nd-101,12.46.160.246,Eth1/19,Direct Port Channel,pol-pc-101-t3,logic-int-prof-101-19,ospf-int-pol-101-19,-,0(default),Point-to-point,1,4,1,1,SVI,3960, 12.46.160.50/30,-,1500,Trunk(tag付き),フロア間PP(増築2F:SM),"SM5-1,2",開発運用面,Level3,
,,,,,,,,,,,,,,,,,,Eth1/20,Direct Port Channel,pol-pc-101-t4,,,-,0(default),Point-to-point,1,4,1,1,SVI,3963, 12.46.160.62/30,-,1500,Trunk(tag付き),フロア間PP(増築2F:SM),"SM5-3,4",,,
,,,,,,,,,,,,,,千葉開発 Leaf(Border)#2,nwch-i9318-zlfb1022t,logic-nd-102,12.46.160.245,Eth1/19,Direct Port Channel,pol-pc-102-t3,logic-int-prof-102-19,ospf-int-pol-102-19,-,0(default),Point-to-point,1,4,1,1,SVI,3962, 12.46.160.58/30,-,1500,Trunk(tag付き),フロア間PP(増築2F:SM),"SM5-5,6",,,
,,,,,,,,,,,,,,,,,,Eth1/20,Direct Port Channel,pol-pc-102-t4,,,-,0(default),Point-to-point,1,4,1,1,SVI,3961, 12.46.160.54/30,-,1500,Trunk(tag付き),フロア間PP(増築2F:SM),"SM5-7,8",,,
,,,,l3out-topeesg,exepg-topeesg,ESG(NSX),OSPF,0.0.0.0/0,0.0.0.0/0,-,-,310,NSSA,千葉開発 Leaf(VM6)#1,nwch-i9318-zlfs4011t,logic-nd-401,12.41.255.133,Eth1/01,Port,-,logic-int-prof-401-01,ospf-int-pol-401-01,255,0(default),Broadcast,1,4,1,1,SVI,2298,12.42.159.225/28,-,1500,Trunk(tag付き),Blade Chassis#50,PTM1-1,開発運用面,Level3,開発管理クラスタ(CL_DC_D61_MG1)、ESG01c(運用系01)
,,,,,,,,,,,,,,,,,,Eth1/02,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,2298,12.42.159.225/28,-,1500,Trunk(tag付き),Blade Chassis#50,PTM1-2,,,開発管理クラスタ(CL_DC_D61_MG1)、ESG02c(運用系02)
,,,,,,,,,,,,,,,,,,Eth1/03,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,2298,12.42.159.225/28,-,1500,Trunk(tag付き),Blade Chassis#50,PTM1-3,,,検証管理クラスタ(CL_DC_P61_MG1)、ESG01c(運用系01)※検証用
,,,,,,,,,,,,,,,,,,Eth1/04,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,2298,12.42.159.225/28,-,1500,Trunk(tag付き),Blade Chassis#50,PTM1-4,,,検証管理クラスタ(CL_DC_P61_MG1)、ESG02c(運用系02)※検証用
,,,,,,,,,,,,,,,,,,Eth1/17,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,2298,12.42.159.225/28,-,1500,Trunk(tag付き),Blade Chassis#51,PTM1-1,,,開発管理クラスタ(CL_DC_D61_MG1)
,,,,,,,,,,,,,,,,,,Eth1/18,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,2298,12.42.159.225/28,-,1500,Trunk(tag付き),Blade Chassis#51,PTM1-2,,,開発管理クラスタ(CL_DC_D61_MG1)
